technology_id,technology_name,component_family_id,component_family_name,tl,component_id,display_name,short_name,progression_basis,mechanical_promise,candidate_capability_tags,name_status,mechanics_status,review_flag,confidence,compatibility_profile_id,required_capability_tags,non_emulatable_capability_tags,compatibility_override_status,compatibility_notes,reference_influence_ids,originality_guardrail,numeric_status,framework_status
hull,Hull,hull,Standard Cruiser Hull,1,hull_standard_tl_01,Welded Pressure Hull,Pressure Hull,structural architecture,"Baseline Hull Points, limited installation capacity, one shuttle, and minimal compartmentation.",pressure_hull,intentional_draft,provisional,,high,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,2,hull_standard_tl_02,Reinforced Spaceframe,Reinforced Spaceframe,structural architecture,Improved Hull Points and load tolerance without changing the cruiser-scale identity.,reinforced_structure,intentional_draft,provisional,,high,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,3,hull_standard_tl_03,Modular Truss Hull,Modular Truss,structural architecture,Major-refit friendliness; candidate second Weapon Bay and first Auxiliary capacity milestone.,modular_mounts,intentional_draft,provisional,Confirm exact bay milestone.,high,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass. Existing review: Confirm exact bay milestone.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,4,hull_standard_tl_04,Cellular Compartment Hull,Cellular Hull,compartmentation,"Better internal isolation, stores organization, and resistance to cascading internal exposure.",cellular_compartmentation,intentional_draft,provisional,,high,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,5,hull_standard_tl_05,Integrated Monocoque Hull,Integrated Monocoque,integrated architecture,Higher structural efficiency and embedded power/data pathways that reduce installation overhead.,integrated_conduits,intentional_draft,provisional,,medium,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,6,hull_standard_tl_06,Distributed Loadframe,Distributed Loadframe,load distribution,Expanded support capacity; candidate third Weapon Bay or larger stores milestone.,distributed_load_paths,intentional_draft,provisional,Confirm exact capacity milestone.,high,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass. Existing review: Confirm exact capacity milestone.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,7,hull_standard_tl_07,Metamaterial Stressframe,Metamaterial Stressframe,metamaterial structure,Reduced subsystem-failure penalties and improved damage-control access through engineered stress routing.,metamaterial_structure,intentional_draft,provisional,,medium,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,8,hull_standard_tl_08,Adaptive Lattice Hull,Adaptive Lattice,adaptive structure,High-end integration and structural tolerance for adapted high-TL or alien components.,adaptive_structure,intentional_draft,provisional,Define whether adaptation is passive or requires support electronics.,medium,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass. Existing review: Define whether adaptation is passive or requires support electronics.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
hull,Hull,hull,Standard Cruiser Hull,9,hull_standard_tl_09,Programmable-Matter Hull,Programmable-Matter Hull,programmable matter,Final major refit with a campaign-defining structural benefit such as exceptional field reconstruction or final installation capacity.,programmable_matter,intentional_draft,provisional,Must receive a visible TL9 mechanic; name implies limited reconfiguration or reconstruction.,medium,hull_foundation,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass. Existing review: Must receive a visible TL9 mechanic; name implies limited reconfiguration or reconstruction.,T4_BIG_HULLS; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
armor,Armor,armor,Standard Armor,1,armor_standard_tl_01,Rolled Alloy Plating,Alloy Plating,material,Baseline passive Armor Protection and Integrity; inexpensive and straightforward to repair.,alloy_armor,intentional_draft,provisional,,high,armor_hull_interface,,,use_family_profile,Per-item support floors and hard capability tags remain to be assigned during the numerical-mechanics pass.,MOO2_MANUAL; T4_STARSHIPS; GURPS_SPACE; STARFIRE_ULTRA_COMPLETE,"Original Star Cluster draft. References influence patterns only; do not copy proprietary names, exact ladders, tables, numerical progressions, or core mechanics.",not_yet_assigned,checkpoint_23_reference_mined_draft
