topic,current_direction,reference_influence,checkpoint_23_decision,status,next_action
Visible research structure,"Ten broad player-visible TL categories, TL 1-9.",MOO2 broad domains; Starfire completeness checklist; Traveller quick/detailed design contrast.,Retain ten broad categories; place multiple standard component families inside them.,adopted framework,Define anchor statistics without adding new visible trees.
FTL versus STL,Both are installed propulsion systems with different map roles.,Traveller and GURPS clearly separate strategic and local drives.,Use one Propulsion research TL and two separately named/statted component families; mixed Item TL is legal.,adopted framework,Draft separate FTL and STL numerical fields.
Uneven advancement,Technology categories do not advance in lockstep.,Refit/captured-technology patterns across several references.,Research is independent; compatibility is checked at installation and operation.,adopted framework,Test mixed-TL reference ships.
Support prerequisites,"Item-specific prerequisites produce Integrated, Adapted, or Incompatible.",Traveller controls/electronics and physical design dependencies; conversion references.,Most standard families use no more than two related support categories; no universal equal-TL rule.,adopted framework,Tune gap allowances by family.
Adapted-system risk,"Adapted systems pay explicit capacity, power, reliability, performance, or repair costs.",Captured/refitted systems and ship-design constraints; user-proposed space-opera jury-rig concept.,"Reserve visible Adaptation Strain, meaningful stress events, warnings, and condition-step failure.",adopted concept; runtime deferred,Implement only after ordinary component conditions and compatibility data are stable.
Chief Engineer,Bounded senior-officer abilities support repair and jury-rigging.,Leader systems show the value and risk of characterful exceptions.,"Allow a limited 1-2 TL bridge, strain reduction, or one emergency jury-rig; never bypass hard blockers.",adopted concept; runtime deferred,"Define rarity, action cost, and per-battle/campaign limits later."
Progression shape,TL 9 must be meaningful; milestones should be staggered.,MOO2 qualitative unlocks; GURPS maturity/efficiency; Traveller compactness.,"Anchor TL 1/3/5/7/9; use TL 2/4/6/8 for maturity, efficiency, integration, or smaller capabilities.",adopted calibration method,Draft foundational statistics first.
Naming,Named standard player items at every TL with stable machine IDs.,Principle-led naming cadence across space-opera references.,Keep current names as intentional drafts; reduce repeated Metric usage and require names to match mechanics.,review required,Revise display names without changing component_id.
Hull scale,Persistent cruiser lineage; Hull TL improves capacity and compartmentation without class escalation.,Large-hull references demonstrate how scale can dominate a design system.,Keep bounded bays/support/shuttles and use efficiency/miniaturization for late-TL growth.,adopted guardrail,Fit early/mid/late reference cruisers.
Damage detail,Hidden bounded exposure groups and individualized major systems.,Starfire demonstrates narrative value and bookkeeping cost of detailed system placement.,Do not adopt a player-managed system string; retain bounded hidden exposure.,confirmed,Later test marker density across reference hulls.
Interface complexity,Player should see consequences rather than calculate engineering worksheets.,Traveller quick versus detailed design and Triplanetary compact presentation.,"Provide standard components, direct compatibility summaries, and optional deep data.",adopted UX direction,Prototype ship-designer warnings after data is stable.
Originality and source use,References inform design but never override the Concept.,All preserved sources.,"Record source-to-insight traceability; do not copy proprietary prose, names, art, tables, exact ladders, numbers, or distinctive core mechanics.",mandatory guardrail,Carry Reference Library and Insights into every later TL checkpoint.
