profile_id,tl,role,weapon_bays_used,weapon_bays_available,aux_capacity_used,aux_capacity_available,auxiliary_modules,capacity_signal,status
tl1-defense,1,Defense specialist,1,1,1,1,aux_kinetic_pds,One AUX slot forces a clear defensive specialization.,legal_capacity_fixture
tl1-explorer,1,Explorer,1,1,1,1,aux_active_sensor_array,One AUX slot forces a sensor-versus-combat tradeoff.,legal_capacity_fixture
tl2-power,2,Power planner,1,1,1,1,aux_power_capacitor,TL2 gains more component choice but not more normal-hull AUX capacity.,legal_capacity_fixture
tl2-ew,2,EW specialist,1,1,1,1,aux_ecm_suite,A single-slot TL2 hull cannot stack ECM with another AUX without a later Hull milestone.,legal_capacity_fixture
tl3-defense,3,Layered defense,2,2,2,2,aux_amm_pds; aux_shield_battery,Two 1-capacity modules become legal at the first major integration milestone.,legal_capacity_fixture
tl3-power,3,Power support,2,2,2,2,aux_auxiliary_reactor,A capacity-2 Auxiliary Reactor occupies the whole TL3 AUX allowance.,legal_capacity_fixture
tl4-repair,4,Repair defense,2,2,2,2,aux_shield_hardener; aux_repair_drone_bay,New future-SF modules expand choice without a free capacity increase.,legal_capacity_fixture
tl4-control,4,Movement control,2,2,2,2,aux_tractor_projector,A capacity-2 Tractor Projector remains a full AUX commitment at TL4.,legal_capacity_fixture
tl5-power-ew,5,Power and EW,2,2,3,3,aux_auxiliary_reactor; aux_ecm_suite,Three AUX capacity permits a 2+1 combination for the first time.,legal_capacity_fixture
tl5-expedition,5,Expedition support,2,2,3,3,aux_hangar_bay; aux_laboratory_module,A two-capacity hangar can coexist with one specialist module.,legal_capacity_fixture
tl6-combat,6,Mixed combat support,3,3,3,3,aux_shield_booster; aux_energy_pds; aux_combat_battery,Three one-capacity combat supports compete with the newly expanded weapon suite.,legal_capacity_fixture
tl6-logistics,6,Logistics cruiser,3,3,3,3,aux_fabrication_module; aux_cargo_expansion,A 2+1 utility combination remains bounded at three AUX capacity.,legal_capacity_fixture
tl7-resilience,7,Resilience support,3,3,3,3,aux_auxiliary_reactor; aux_repair_drone_bay,Self-healing remains excluded until its capacity cost and mechanics are defined.,legal_capacity_fixture
tl7-ew,7,Information warfare,3,3,3,3,aux_active_sensor_array; aux_ecm_suite; aux_eccm_suite,Three related one-capacity modules can form a specialized late-game information build.,legal_capacity_fixture
tl8-heavy-support,8,Heavy support,3,3,4,4,aux_tractor_projector; aux_auxiliary_reactor,Four AUX capacity permits two capacity-2 systems but consumes the full allowance.,legal_capacity_fixture
tl8-expedition,8,Deep expedition,3,3,4,4,aux_hangar_bay; aux_fabrication_module,Two large utility modules fit only after the TL8 AUX milestone.,legal_capacity_fixture
tl9-balanced,9,Balanced pinnacle,4,4,4,4,aux_shield_hardener; aux_power_stabilizer; aux_repair_drone_bay; aux_combat_battery,Four one-capacity systems give breadth without unbounded stacking.,legal_capacity_fixture
tl9-heavy-support,9,Heavy pinnacle support,4,4,4,4,aux_tractor_projector; aux_auxiliary_reactor,Two capacity-2 systems still consume the full TL9 AUX allowance.,legal_capacity_fixture
