family_id,subfamily_id,display_name,installation_class,entry_tl,tl1_milestone,tl2_milestone,tl3_milestone,tl4_milestone,tl5_milestone,tl6_milestone,tl7_milestone,tl8_milestone,tl9_milestone
pds,aux_kinetic_pds,Kinetic Point-Defense Battery,auxiliary_capacity,1,Entry: modest accuracy; ammo-fed,Accuracy refinement,Ammunition efficiency,Reaction-capacity review,Evasive compensation,Accuracy/reliability,Reaction-capacity review,Ammo/power efficiency,Pinnacle conventional PDS
pds,aux_energy_pds,Energy Point-Defense Array,auxiliary_capacity,1,"Entry: modest powered, ammunition-free defense",Accuracy refinement,Power efficiency,Accuracy refinement,Reaction-capacity review,Evasive compensation,Power efficiency,Accuracy/reliability,Pinnacle energy PDS
pds,aux_amm_pds,Anti-Missile Missile Battery,auxiliary_capacity,1,Entry: modest finite-interceptor defense,Seeker/reliability refinement,Salvo/ammunition efficiency,Seeker accuracy,Salvo/ammo efficiency,Reaction-capacity review,Counter-countermeasures,Reliability,Pinnacle interceptor PDS
power_support,aux_apu,Auxiliary Power Unit,auxiliary_capacity,1,Entry: core continuity only,-,Endurance/reliability,-,Isolation improvement,-,Resilience refinement,-,Pinnacle continuity
power_support,aux_combat_battery,Combat Battery,auxiliary_capacity,1,Entry: +1 TP; 3 uses,-,Charge-density review,-,Output/uses trade study,-,Storage efficiency,Reliability,Pinnacle finite burst
power_support,aux_power_capacitor,Power Capacitor,auxiliary_capacity,2,Not available,Entry: charge then discharge,Charge efficiency,-,Stored-power review,-,Timing/reliability,-,Pinnacle capacitor
power_support,aux_auxiliary_reactor,Auxiliary Reactor,auxiliary_capacity,3,Not available,Not available,Entry: renewable output; cap 2,Containment/reliability,Output efficiency,Degraded-output refinement,-,Containment/output review,Pinnacle auxiliary generation
shield_support,aux_shield_battery,Shield Battery,auxiliary_capacity,3,Not available,Not available,Entry: finite shield restoration,-,Storage efficiency,-,Restoration efficiency,-,Pinnacle shield reserve
shield_support,aux_shield_booster,Shield Booster,auxiliary_capacity,3,Not available,Not available,Entry: bounded capacity boost,Overcharge reliability,-,Capacity efficiency,-,Stress control,Pinnacle shield boost
shield_support,aux_power_stabilizer,Shield Power Stabilizer,auxiliary_capacity,3,Not available,Not available,Entry: recharge efficiency,-,Power efficiency,-,Overload stability,-,Pinnacle stabilization
shield_support,aux_shield_hardener,Shield Hardener,auxiliary_capacity,4,Not available,Not available,Not available,Entry: bounded shield hardening,Power efficiency,-,Protection refinement,-,Pinnacle hardening
armor_support,aux_ablative_armor,Ablative Armor Layer,auxiliary_capacity,1,Entry: expendable outer layer,-,Material efficiency,-,AP/AI efficiency,-,Capacity efficiency,-,Pinnacle ablative layer
armor_support,aux_energized_armor_controller,Energized Armor Controller,auxiliary_capacity,4,Not available,Not available,Not available,Entry: powered armor bonus,Power efficiency,-,Protection refinement,-,Pinnacle energized armor
