insight_id,source_id,source_location,subsystem,insight_type,observed_pattern,possible_star_cluster_application,kiss_risk,originality_guardrail,adoption_status,related_component_or_decision_ids,decision_note
RI-001,MOO2_MANUAL,R&D pp. 73-117,research,progression,Broad research domains contain multiple concrete applications rather than one visible tree per item.,Keep ten broad player-facing TL categories while allowing several component families and unlocks inside each category.,low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-146; D-174; all technology_id values,"The broad-category idea fits Star Cluster, but the exact MOO2 categories and applications are not reused."
RI-002,MOO2_MANUAL,R&D and ship design pp. 73-132,all components,qualitative milestones,Technology progression can unlock new behavior as well as improve raw values.,"At selected TLs, add a named capability, integration improvement, operating mode, or major refit rather than nine uniform percentage steps.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-179; TL level themes,Numerical values remain deferred.
RI-003,MOO2_MANUAL,R&D pp. 73-117,naming,naming cadence,Recognizable physical principles can transition toward more speculative concepts at later levels.,"Use grounded low-TL names, credible mid-TL science fiction, and grand but bounded high-TL names.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted with review,all display_name fields,Do not reuse distinctive names or the exact source sequence; repeated use of Metric remains flagged for revision.
RI-004,MOO2_MANUAL,Ships pp. 119-134,hull and components,miniaturization,Advanced technology may reduce installation burden or enable better use of the same hull.,"Let higher TL improve efficiency, integration, or capacity burden without automatically increasing ship class.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",candidate,Hull TL; component capacity costs,Must remain compatible with the persistent cruiser lineage.
RI-005,MOO2_MANUAL,Ships and Combat pp. 119-165,damage,layered defenses,Defensive layers and internal-system consequences can create different tactical outcomes.,"Preserve Star Cluster shields -> armor -> hull/internal flow, but keep its deterministic hidden exposure model rather than copying another damage system.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-137 to D-140,"Reference confirms the value of differentiated layers, not any exact numbers or tables."
RI-006,MOO2_MANUAL,Ships pp. 119-134,refit,refitting,Refitting gives older hulls a meaningful path to use later equipment.,"Support routine replacements, major drydock refits, and adapted captured equipment as distinct activities.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-147; D-175 to D-178,Star Cluster adaptation strain and engineer rules are original implementation concepts.
RI-007,MOO2_MANUAL,Leaders pp. 135-147,crew,officer influence,Leaders can alter outcomes without becoming separate technology systems.,"Use bounded Chief Engineer benefits: limited TL bridge, strain mitigation, emergency jury-rig, or failure mitigation.",medium,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted concept,D-178; Chief Engineer,Avoid stacking many percentage bonuses.
RI-008,MOO2_MANUAL,R&D and diplomacy systems,research and salvage,alternate acquisition,A civilization may obtain capabilities through routes other than ordinary research.,"Recovered alien devices may be installed, studied, traded, or dismantled; research TL and item TL remain separate.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",already consistent,D-011; D-147 to D-149,The campaign context and exact acquisition rules remain Star Cluster-specific.
RI-009,T4_STARSHIPS,"Maneuver drives and jump drives, pp. 62-75",propulsion,component separation,Strategic FTL and local maneuver are physically and operationally different systems.,"Use one visible Propulsion research TL with separately named, separately statted FTL and STL component families.",low,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted framework,D-174; ftl_drive; stl_drive,Research stays compact; installations may be mixed TL.
RI-010,T4_STARSHIPS,"Ship design sequence, pp. 62-95",all components,resource relationships,"Installed systems may impose several distinct ship burdens such as space, power, fuel, controls, and crew.","Represent only burdens that create decisions: Hull/bay/support capacity, Tactical Power, fuel/ammunition, control support, and hard physical blockers.",high,"Pattern-level influence only; create original names, data, rules, and implementation. Do not copy proprietary text, tables, exact ladders, or distinctive core mechanics.",adopted selectively,compatibility profiles; future numeric fields,Do not reproduce a construction worksheet or detailed mass-volume accounting.
