family_id,subfamily_id,display_name,installation_class,entry_tl,identity,strengths,weaknesses,tuning_knobs,tl1,tl2,tl3,tl4,tl5,tl6,tl7,tl8,tl9
pds,aux_kinetic_pds,Kinetic Point-Defense Battery,auxiliary_capacity,1,Conventional ammunition-fed close-range defense.,broad PDS target eligibility; conventional installation; reaction-capacity growth,finite ammunition; accuracy and ammunition burden,accuracy; reaction capacity; ammunition efficiency; Tactical Power readiness; evasive compensation; reliability,Entry: modest accuracy; ammo-fed,Accuracy refinement,Ammunition efficiency,Reaction-capacity review,Evasive compensation,Accuracy/reliability,Reaction-capacity review,Ammo/power efficiency,Pinnacle conventional PDS
pds,aux_energy_pds,Energy Point-Defense Array,auxiliary_capacity,2,"Power-intensive, ammunition-free close-range defense.",no conventional ammunition; accuracy potential,Tactical Power demand; sustained readiness competition,accuracy; reaction capacity; Tactical Power cost; evasive compensation; reliability,Not available,Entry: powered; ammo-free,Power efficiency,Accuracy refinement,Reaction-capacity review,Evasive compensation,Power efficiency,Accuracy/reliability,Pinnacle energy PDS
pds,aux_amm_pds,Anti-Missile Missile Battery,auxiliary_capacity,3,Finite-ammunition interceptor PDS with strong missile-defense specialization while retaining common PDS target eligibility.,high missile-interception potential; independent interceptor package,finite ammunition; specialized opportunity cost,accuracy; reaction capacity; interceptor ammunition; Tactical Power readiness; reliability; target-specific modifiers only if explicitly approved,Not available,Not available,Entry: finite interceptor PDS,Seeker accuracy,Salvo/ammo efficiency,Reaction-capacity review,Counter-countermeasures,Reliability,Pinnacle interceptor PDS
power_support,aux_apu,Auxiliary Power Unit,auxiliary_capacity,1,Core-power continuity without ordinary Tactical Power output.,continuity; low direct combat leverage,does not provide ordinary Tactical Power,continuity duration; reliability; capacity cost,Entry: core continuity only,-,Endurance/reliability,-,Isolation improvement,-,Resilience refinement,-,Pinnacle continuity
power_support,aux_combat_battery,Combat Battery,auxiliary_capacity,1,Finite emergency Tactical Power injection.,flexible short burst; simple emergency use,finite charges; does not replace reactor output,power per use; number of uses; once-per-turn limit; resupply; capacity cost; reliability,Entry: +1 TP; 3 uses,-,Charge-density review,-,Output/uses trade study,-,Storage efficiency,Reliability,Pinnacle finite burst
power_support,aux_power_capacitor,Power Capacitor,auxiliary_capacity,2,Charge-then-discharge stored power assigned to a legal operation.,operation-specific timing; planned burst,charging time; assignment limits,charge rate; stored power; eligible operation; discharge timing; reliability,Not available,Entry: charge then discharge,Charge efficiency,-,Stored-power review,-,Timing/reliability,-,Pinnacle capacitor
power_support,aux_auxiliary_reactor,Auxiliary Reactor,auxiliary_capacity,3,Renewable Tactical Power generation with high integration and capacity cost.,renewable output,capacity 2 candidate; damage and containment risk; threshold-crossing risk,output; capacity cost; degraded output; cooldown; reliability; support requirements,Not available,Not available,Entry: renewable output; cap 2,Containment/reliability,Output efficiency,Degraded-output refinement,-,Containment/output review,Pinnacle auxiliary generation
shield_support,aux_shield_battery,Shield Battery,auxiliary_capacity,3,Finite emergency shield restoration.,immediate bounded restoration,finite charges; does not improve normal recharge,restoration amount; charges; activation timing; capacity cost; reliability,Not available,Not available,Entry: finite shield restoration,-,Storage efficiency,-,Restoration efficiency,-,Pinnacle shield reserve
shield_support,aux_shield_booster,Shield Booster,auxiliary_capacity,3,Increases maximum shield capacity; optional overcharge remains stress-limited.,capacity increase,stress and power if overcharged; lost when disabled,capacity bonus; overcharge amount; power cost; stress chance; reliability,Not available,Not available,Entry: bounded capacity boost,Overcharge reliability,-,Capacity efficiency,-,Stress control,Pinnacle shield boost
shield_support,aux_power_stabilizer,Shield Power Stabilizer,auxiliary_capacity,3,Improves shield recharge efficiency per Tactical Power.,efficient recharge,requires Tactical Power and an operating shield generator,recharge efficiency; power requirement; reliability,Not available,Not available,Entry: recharge efficiency,-,Power efficiency,-,Overload stability,-,Pinnacle stabilization
shield_support,aux_shield_hardener,Shield Hardener,auxiliary_capacity,4,Provides bounded Shield Protection or reduces shield-penetration effectiveness.,flat protection,sustained power; high balance risk against weak attacks,Shield Protection; SPEN interaction; Tactical Power cost; capacity cost; reliability,Not available,Not available,Not available,Entry: bounded shield hardening,Power efficiency,-,Protection refinement,-,Pinnacle hardening
armor_support,aux_ablative_armor,Ablative Armor Layer,auxiliary_capacity,1,Expendable outer armor layer resolving before primary armor.,passive outer protection,normally nonrepairable in combat; consumed by damage,Armor Protection; Armor Integrity; capacity cost; mass or maneuver tradeoff,Entry: expendable outer layer,-,Material efficiency,-,AP/AI efficiency,-,Capacity efficiency,-,Pinnacle ablative layer
armor_support,aux_energized_armor_controller,Energized Armor Controller,auxiliary_capacity,4,Consumes sustained Tactical Power to add an armor-protection bonus while passive armor remains intact when unpowered.,powered protection,sustained power; brownout sensitivity,protection bonus; Tactical Power cost; reliability; capacity cost,Not available,Not available,Not available,Entry: powered armor bonus,Power efficiency,-,Protection refinement,-,Pinnacle energized armor
maneuver_support,aux_evasive_maneuver_system,Evasive Maneuver System,auxiliary_capacity,1,Supports the agreed full-turn evasive posture without changing movement allowance.,defensive posture support,own-fire penalty; increased fuel cost; full-turn commitment,defense bonus; own-fire penalty; fuel multiplier; stationary cost; evasive compensation; reliability,Entry: conventional EvM support,-,Compensation support,Fuel/power efficiency,-,Reliability,-,Compensation efficiency,Pinnacle maneuver support
sensor_ew_support,aux_active_sensor_array,Active Sensor Array,auxiliary_capacity,1,Improves active-search range and local reacquisition support.,active search; reacquisition,emissions; Tactical Power when active,active range; reacquisition modifier; Tactical Power cost; reliability,Entry: active range/reacquisition,Discrimination,Power efficiency,Range refinement,Reacquisition,ECCM support,Precision,Efficiency,Pinnacle active sensing
sensor_ew_support,aux_ecm_suite,Electronic Countermeasures Suite,auxiliary_capacity,1,Degrades opposing track quality and participates in the agreed cooperative ECM screen.,track-quality pressure,sustained Tactical Power; observable emissions; ECCM counterplay,ECM strength; Tactical Power cost; cooperative-screen contribution; reliability,Entry: modest conventional ECM,Strength refinement,Power efficiency,Screen efficiency,-,Strength/reliability,Network integration,Efficiency,Pinnacle ECM
sensor_ew_support,aux_eccm_suite,Electronic Counter-Countermeasures Suite,auxiliary_capacity,1,Improves powered discrimination against ECM without revealing hidden enemy values.,ECM counterplay,sustained Tactical Power; situational value,ECCM strength; Tactical Power cost; reliability,Entry: modest conventional ECCM,Strength refinement,Power efficiency,Discrimination,-,Strength/reliability,Network integration,Efficiency,Pinnacle ECCM
sensor_ew_support,aux_communications_relay,Tactical Communications Relay,auxiliary_capacity,2,"Supports datalink reach, coordination, and relay functions under line-of-sight and observer-safe information rules.",datalink support; coordination,network stacking risk; line-of-sight and latency constraints,relay reach; latency; power cost; relay chaining; reliability,Not available,Entry: tactical relay,Reliability,Reach,Relay efficiency,Latency/reliability,Network resilience,Reach,Pinnacle relay
maneuver_support,aux_tractor_projector,Tractor Projector,auxiliary_capacity,4,Sustained high-power movement denial and hold effects under explicit conflict and cap rules.,movement control,high Tactical Power; capacity 2 candidate; control and stacking risk,hold strength; Tactical Power cost; range; capacity cost; conflict rules; reliability,Not available,Not available,Not available,Entry: bounded tractor control,Power efficiency,Strength review,-,Control precision,Pinnacle tractor control
