component_id,name,owner,placement_tl,philosophies,reference_basis,reference_coverage,sweep_disposition,cp138_combat_execution
ablative-armor,Ablative Armor Layer,Armor,1,combat-generalist|damage-resilience,RM-THEME-006|RM-THEME-007|SD-DC-008,external_reference_supported,specialist_architecture_defer_until_explicit_threat_or_mechanic,false
communications-relay,Communications Relay / Mission Communications Suite,Computing / Fire Control,1,information-control|expedition-survey|assault-relief,RM-THEME-013|SD-SW-035|SD-Q09-006|SD-Q09-007|SD-Q24-011,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
scientific-laboratory,Scientific Laboratory,Computing / Fire Control,1,expedition-survey,RM-THEME-014|SD-Q06-001|SD-Q06-006,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
energy-pds,Energy / Beam Point-Defense Array,Energy Weapons,1,combat-generalist|missile-defense-escort,RM-THEME-006|SD-SW-010|SD-SW-011|SD-SW-038|SD-SW-039,external_reference_supported,execute_in_cp138_primary_combat_sweep,true
mission-package,Boarding / Planetary Mission Package,Hull,1,expedition-survey|assault-relief,RM-THEME-007|RM-THEME-014|SD-Q06-001|SD-Q06-008,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
cargo-expansion,Cargo Expansion,Hull,1,industrial-logistics|expedition-survey|assault-relief,RM-THEME-011|RM-THEME-014|SD-Q06-004|SD-Q10-010,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
medical-bay,Medical Bay,Hull,1,damage-resilience|expedition-survey|assault-relief,RM-THEME-007|SD-DC-006|SD-Q06-003,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
mining-module,Mining and Extraction Module,Hull,1,industrial-logistics|expedition-survey,RM-THEME-014|SD-Q06-001|SD-Q06-004,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
local-amm-pds,Local AMM Point-Defense Battery,Missile Weapons,1,combat-generalist|missile-defense-escort|munition-endurance,RM-THEME-006|SD-SW-010|SD-SW-011|SD-SW-038|SD-SW-040,external_reference_supported,execute_in_cp138_primary_combat_sweep,true
missile-magazine,Missile Magazine Expansion,Missile Weapons,1,munition-endurance,RM-THEME-011|SD-SW-020|SD-SW-030,external_reference_supported,architecture_coverage_no_fake_combat_effect,false
auxiliary-power-unit,Auxiliary Power Unit,Power,1,damage-resilience|power-flexibility,RM-THEME-012|SD-Q10-003|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
auxiliary-reactor,Auxiliary Reactor,Power,1,power-flexibility,RM-THEME-012|SD-Q10-003|SD-Q10-009,external_reference_supported,defer_power_supply_storage_until_post_aux_reactor_phase,false
