compatibility_profile_id,component_family_id,primary_support_category_id,secondary_support_category_id,integrated_primary_max_tl_gap,adapted_primary_max_tl_gap,integrated_secondary_max_tl_gap,adapted_secondary_max_tl_gap,default_base_adaptation_strain,default_strain_tolerance,default_failure_progression,default_stress_events,engineer_bypass_allowed,maximum_engineer_tl_bridge,field_jury_rig_allowed,hard_blocker_examples,draft_relationship,profile_status,review_flag,research_lockstep_rule,workshop_adaptation_rule,field_jury_rig_rule,stress_visibility_rule,engineer_bridge_rule,hard_blocker_policy,runtime_status
hull_foundation,hull,,,,,,,0,,Not applicable to the hull foundation itself; installed subsystems use their own profiles.,,no,0,no,"Hull scale, physical bay count, and structural capacity cannot be improvised away.",Hull TL defines the structural foundation and support envelope rather than depending on another player TL.,framework_draft,Hull-specific component prerequisites and capacity milestones remain to be assigned.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
armor_hull_interface,armor,hull,,3,4,,,1,4,Operational -> Degraded -> Damaged -> Destroyed; ordinary adaptation failures normally move one step.,Critical structural hit; field repair under load; operation after support-frame damage.,yes,2,limited,"Insufficient mounting area, mass allowance, or non-emulatable material bonding process.","Passive armor can tolerate a wider Hull TL gap than powered systems, but advanced repair and bonding features may be lost when Adapted.",framework_draft,Confirm whether adaptation strain belongs to the armor or its mounting interface.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
shield_power_control,shields,power,computing_fire_control,2,3,3,4,1,3,Operational -> Degraded -> Damaged -> Destroyed; ordinary adaptation failures normally move one step.,Sustained boost; overcharge; reactor interruption; field-control damage; critical shield event.,yes,2,yes,"Missing field-generation capability, incompatible power form, or absent containment hardware.",Shield technology is strongly related to reactor quality and moderately related to control-computer quality without requiring lockstep advancement.,framework_draft,Use simulation to test whether the primary gap should tighten at TL 7-9.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
reactor_hull_containment,reactor,hull,,2,3,,,1,3,Operational -> Degraded -> Damaged -> Destroyed; severe containment failures may escalate further.,Sustained overload; emergency output; containment damage; direct power-bus hit.,yes,2,limited,"Missing containment volume, distribution bus, cooling path, or required physical isolation.","Advanced reactors need a sufficiently modern hull integration and containment envelope, but older hulls may accept them through costly cradles and converters.",framework_draft,Assign containment capability tags once reactor mechanics are drafted.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
ftl_propulsion_integration,ftl_drive,power,hull,2,3,3,4,1,3,Operational -> Degraded -> Damaged -> Destroyed; a failed transit system normally drops out safely unless a special critical event applies.,Long transit; emergency jump; power interruption during field formation; damaged stabilizer.,yes,2,yes,"Absent FTL field containment, insufficient aperture/volume, or inability to generate the required power form.",FTL and STL share one Propulsion research TL but are separately installed and separately statted; FTL depends primarily on power and secondarily on hull integration.,framework_draft,"Strategic-map range, speed, and emergency-jump mechanics remain to be assigned.",Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
stl_propulsion_integration,stl_drive,power,hull,2,3,3,4,1,3,Operational -> Degraded -> Damaged -> Destroyed; ordinary failures reduce movement or fuel efficiency before total loss.,Sustained maximum thrust; evasive maneuvering; emergency burn; drive or power-bus damage.,yes,2,yes,"Insufficient thrust-frame capacity, incompatible reaction mass/power form, or missing inertial support capability.",STL drive performance is independent from FTL statistics even though both use the same visible Propulsion research level.,framework_draft,"Combat and pursuit simulation should tune the relationship among speed, fuel, and adaptation strain.",Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
sensor_processing,sensors_ew,computing_fire_control,power,2,3,3,4,1,4,"Operational -> Degraded -> Damaged -> Destroyed; failures first reduce track quality, refresh, or active envelope.",Sustained active emission; maximum ECM output; rapid multi-track fusion; support-computer damage.,yes,2,yes,"Missing signal-processing interface, incompatible aperture geometry, or absent exotic detection capability.",Advanced sensor/EW suites need adequate processing and power but should remain installable on mixed-TL ships through adapters and reduced performance.,framework_draft,Ensure high-TL sensors never reveal authoritative hidden state.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
computing_power_bus,computing_fire_control,power,hull,3,4,4,5,1,4,"Operational -> Degraded -> Damaged -> Destroyed; failures first reduce coordination, bounds, or supported track/weapon load.",Maximum fire-control load; battle-network surge; power interruption; data-bus damage.,yes,2,yes,"Missing data-bus architecture, incompatible power quality, or non-emulatable control protocol.","Computers generally tolerate broader TL gaps than high-energy systems, but some advanced capabilities may require explicit data-bus tags.",framework_draft,"Separate command, fire-control, and automation effects during numerical design.",Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
kinetic_mount_control,kinetic_weapon,hull,computing_fire_control,2,3,3,4,1,4,"Operational -> Degraded -> Damaged -> Destroyed; failures first affect accuracy, reload, recoil handling, or reliability.",Sustained rapid fire; overpressure/overcharge; damaged mount; fire-control interruption.,yes,2,limited,"Missing Weapon Bay, insufficient recoil/load path, incompatible ammunition handling, or absent mount geometry.","Kinetic systems depend more on hull/mounting than reactor TL, with fire-control providing a secondary relationship.",framework_draft,Autoloader and ready-shot mechanics will add specific support tags later.,Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
beam_power_control,beam_weapon,power,computing_fire_control,2,3,3,4,1,3,"Operational -> Degraded -> Damaged -> Destroyed; failures first reduce output, accuracy, cooling, or firing cadence.",Sustained fire; overcharge; cooling loss; reactor interruption; fire-control damage.,yes,2,yes,"Insufficient power quality, absent beam aperture/mount, incompatible cooling, or missing field-control capability.",Beam weapons are tightly coupled to reactor and power-distribution quality and moderately coupled to fire control.,framework_draft,"Combat simulation should tune power draw, range, and defense-layer interactions.",Research categories advance independently; this profile affects installation/operation only.,"Prepared refit with time, materials, and a valid adapter; use base strain or a reduced profile-specific value.",Temporary or emergency adaptation; normally +1 strain and an additional explicit cost; prohibited by hard blockers.,Accumulate visible strain only during meaningful stress events; warn before continued operation risks a condition step.,"A qualified Chief Engineer may bridge a limited 1 TL shortfall; a Legendary Chief Engineer may bridge up to the profile maximum, usually for one selected installation.","Crew expertise and adapters cannot replace physical capacity, required containment, absent power form, mount geometry, or a non-emulatable capability tag.",schema_only_not_implemented
