auxiliary_family_id,display_name,role,installation_class,candidate_first_standard_item_tl,primary_research_category,minimum_primary_research_tl,support_floors,minimum_hull_tl,capacity_cost,power_behavior,stacking_rule,damageable,critical_exposure,tl1_fixture_evidence,balance_risk_tier,balance_risk_flags,blocking_concerns,availability_status,entry_policy,notes
aux_kinetic_pds,Kinetic Point-Defense Battery,terminal missile and boarding-craft defense,auxiliary_capacity,1,kinetic_weapons,1,computing_fire_control>=1,1,1,powered_readiness_plus_ammunition,pooled_reaction_capacity; normal two-attempt-per-flight cap,true,1,TL1 PDS mechanics and calibration fixtures exist,moderate,reaction_capacity,confirm early reaction capacity and ammunition burden,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early conventional PDS; fixture evidence does not promote availability.
aux_amm_pds,Anti-Missile Missile Battery,finite-ammunition terminal interception,auxiliary_capacity,1,missile_weapons,1,computing_fire_control>=1,1,1,powered_readiness_plus_ammunition,pooled_reaction_capacity; normal two-attempt-per-flight cap,true,1,TL1 PDS calibration includes ammunition-fed interception behavior,moderate,reaction_capacity; finite_store,confirm magazine pressure and comparison with kinetic PDS,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early ammunition-intensive alternative to kinetic PDS.
aux_energy_pds,Energy Point-Defense Array,power-intensive ammunition-free terminal interception,auxiliary_capacity,2,beam_weapons,2,power>=2; computing_fire_control>=2,2,1,sustained_powered_readiness,pooled_reaction_capacity; normal two-attempt-per-flight cap,true,1,"Energy PDS behavior exists as a comparison concept, not a promoted TL1 item",high,reaction_capacity; unlimited_ammunition; renewable_power,prove that power cost prevents universal replacement of finite-ammunition PDS,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts no earlier than TL2 because ammunition independence can dominate low-TL defenses.
aux_auxiliary_reactor,Auxiliary Reactor,renewable Tactical Power generation,auxiliary_capacity,2,power,2,hull>=2,2,2,renewable_output,normally one; additional copies require explicit stacking permission,true,1,TL1 comparison overlays test +1 output and degraded cooldown behavior,high,renewable_power; threshold_crossing,"test action-threshold crossings, degraded output, cooldown, and reactor stacking",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate floor is TL2; TL1 overlays are calibration controls only.
aux_apu,Auxiliary Power Unit,core-power continuity without normal Tactical Power,auxiliary_capacity,1,power,1,hull>=1,1,1,core_power_only,normally one,true,1,APU core-power-only rule is established,low,continuity,confirm it cannot supply ordinary Tactical Power or shield recharge unless explicitly stated,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Low tactical leverage because it preserves core operation rather than adding action power.
aux_combat_battery,Combat Battery,finite emergency Tactical Power injection,auxiliary_capacity,1,power,1,hull>=1,1,1,finite_discharge_once_per_turn,multiple units allowed; each has its own finite store,true,1,TL1 power-envelope fixtures include Combat Battery injection,moderate,stored_power; extra_action_capacity,set finite charges and refit/resupply rules,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early stored-power option; finite supply is the primary limiter.
aux_power_capacitor,Power Capacitor,operation-specific stored power and charge timing,auxiliary_capacity,2,power,2,computing_fire_control>=1,2,1,charge_then_single_operation_discharge,multiple units allowed only when each is assigned to a legal operation,true,1,Capacitor discharge and charge reporting exists in TL1 power studies,high,stored_power; extra_action_capacity; timing,prevent same-turn charge/discharge loops and universal power substitution,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 because operation-specific burst power can bypass normal turn envelopes.
aux_shield_battery,Shield Battery,finite emergency shield restoration,auxiliary_capacity,1,shields,1,power>=1,1,1,finite_shield_only_discharge,multiple units allowed; each has its own finite store,true,1,Shield Battery is established as player-reserved emergency power,moderate,stored_defense; finite_store,"set charges, restoration amount, and no automatic expenditure policy",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate early emergency defense that does not add general Tactical Power.
aux_shield_booster,Shield Booster,increased maximum Shield Capacity or bounded overcharge,auxiliary_capacity,2,shields,2,power>=2,2,1,sustained_or_overcharge_power,normally one effective booster; explicit profiles may permit diminishing returns,true,1,Shield overcapacity and booster concepts are already modeled,high,defense_capacity; overcharge,"separate passive capacity, powered bonus, and risky overcharge",candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Starts at TL2 so extra renewable capacity does not erase baseline TL1 weapon pacing.
aux_power_stabilizer,Shield Power Stabilizer,improved shield-recharge efficiency per Tactical Power,auxiliary_capacity,2,power,2,shields>=1,2,1,powered_efficiency_modifier,normally one; no multiplicative stacking,true,1,Tactical shield restoration and recharge-efficiency concepts exist,moderate,efficiency_multiplier,bound efficiency and avoid zero-cost recharge loops,candidate_only,raise_starting_tl_before_reducing_established_mechanical_identity,Candidate TL2 efficiency component rather than raw Shield Capacity.
