source_id,title,file_name,project_path,source_type,reference_role,primary_topics,reviewed_locations,use_status,originality_guardrail,notes,sha256
MOO2_MANUAL,Master of Orion II: Battle at Antares - Game Manual v1.50,MOO2_GAME_MANUAL.PDF,docs/references/MOO2_GAME_MANUAL.PDF,commercial game manual,direct pattern inspiration,research categories; named technology progression; ship design; refits; leaders; layered damage; captured technology,Research and Development pp. 73-117; Ships pp. 119-134; Combat pp. 148-165,reviewed for Checkpoint 23,"Use only high-level patterns. Do not copy distinctive names, exact technology ladders, tables, numbers, prose, art, or core mechanics.",Useful as a broad space-opera progression reference; Star Cluster remains a single-ship roguelike rather than a 4X empire game.,86bb4224ac81422e67688948f8f0e32b3e5afff210ec15b8bb910cb08e7188f4
T4_STARSHIPS,Traveller 4 - Starships,002 T4 Starships.pdf,docs/references/002 T4 Starships.pdf,tabletop starship-design rules,direct subsystem-relationship inspiration,separate jump and maneuver drives; power; volume; controls; electronics; weapon bays; automation; crew,"Ship design sequence and component chapters, especially pp. 62-95",reviewed for Checkpoint 23,"Do not copy construction tables, formulas, ratings, or strict same-TL restrictions. Translate only useful relationship patterns into original KISS rules.",Especially useful for distinguishing physical hard blockers from support-TL mismatches.,05059c719c27fcae97bbcd7e8a96930cec8e7ddb8fdb12b6076e050bebd7a0e7
GURPS_SPACE,GURPS Fourth Edition - Space,GURPS - 4th Edition - Space.pdf,docs/references/GURPS - 4th Edition - Space.pdf,tabletop science-fiction design reference,comparative setting and subsystem inspiration,technology tone; space-opera assumptions; drives; FTL; sensors; emissions; spacecraft design; campaign framing,"Technology, spacecraft, space travel, and campaign-design chapters",reviewed for Checkpoint 23,"Use as a menu of questions and tradeoffs, not as a source of copied advantages, formulas, or equipment lists.",Supports explicitly choosing where Star Cluster is grounded and where it embraces fantastical space opera.,39053a5dc304701dff0cb82db00202d8b5e0426dc8b0143ad0b6ff3ca5d66bb2
TRIPLANETARY,Triplanetary 2018 Rules,Triplanetary_2018rules.pdf,docs/references/Triplanetary_2018rules.pdf,tabletop space-combat rules,KISS and tactical-decision comparison,compact movement; fuel; tactical choices; damage; repair; optional complexity,"Movement, fuel, combat, damage, and optional-rule sections",reviewed for Checkpoint 23,Do not reproduce its movement system or combat sequence. Use only the lesson that a few visible resources can create strong tactical decisions.,A useful counterweight to highly detailed ship-construction references.,6e335049f507e0f1b367d5969b534134b85c3925fbef4b814d2159abb5eaf6ae
STARFIRE_ULTRA_EARLY,Starfire Ultra reference package,StarfireUltra(2).zip,docs/references/StarfireUltra(2).zip,tabletop space-combat rules archive,detailed comparative reference,system strings; weapons; missiles; sensors; EW; construction; damage; readiness,Packaged rules and design material,reviewed selectively for Checkpoint 23,"Do not copy system-string mechanics, technology trees, abbreviations, combat tables, or weapon statistics. Abstract only broad relationships.",Substantially overlaps the complete ULTRA archive; do not double-count the same idea as independent evidence.,325b0cb0c027645a342846bec46a1fe5c41441d5e2c5792a78de7bddcd62cff7
STARFIRE_ULTRA_COMPLETE,ULTRA 4/2009 complete rules package,Ultra_4_2009(complete).zip,docs/references/Ultra_4_2009(complete).zip,tabletop space-combat rules archive,detailed comparative reference and complexity warning,generational hulls; damage control; missiles; EW; communications; logistics; construction; leaders,Packaged rules and appendices,reviewed selectively for Checkpoint 23,"Do not copy terminology, detailed tree structure, formulas, or tables. Use the source mainly to identify possible relationships and complexity risks.",Useful for seeing what a comprehensive model covers and what Star Cluster should deliberately compress.,9d4c04260cca367d60e9dad21c7f6f991dc48d05d3cba0daf6852ff9347ecdd1
T4_QSDS,Traveller 4 Quick Ship Design System,002 T4 QSDS Rules.pdf,docs/references/002 T4 QSDS Rules.pdf,tabletop quick-design rules,interface and abstraction comparison,quick ship design; ratings; package-level abstraction; playable defaults,Complete quick-design sequence,reviewed selectively for Checkpoint 23,Do not copy package ratings or tables. Use only the layered-interface idea: approachable defaults backed by deeper data.,Supports keeping the player-facing tree compact while retaining explicit component data internally.,030635af15c4fc28e08e0f511ba04229848d64f64760c0334765e0081b27572f
T4_SSDS,Traveller 4 Standard Ship Design System Revised,002 T4 SSDS Rules Revised.pdf,docs/references/002 T4 SSDS Rules Revised.pdf,tabletop detailed ship-design rules,comparative dependency reference,detailed component sizing; power; fuel; controls; crew; design tradeoffs,Complete standard-design sequence,reviewed selectively for Checkpoint 23,"Do not copy formulas, exact dependencies, or construction tables. Use only broad causal relationships that survive KISS review.","Useful as a source of questions, not as Star Cluster implementation specification.",5a2b179cec3b590dc63c368b73f207d6979d149c2a1f84ce5997d799c4da5b49
T4_HIGH_GUARD_CONVERSION,Traveller High Guard to T4 Conversion,002 HG to T4 Conversion.pdf,docs/references/002 HG to T4 Conversion.pdf,rules conversion reference,data-migration and compatibility comparison,mapping equipment between rulesets; preserved identity; conversion compromises,Conversion guidance and tables,reviewed selectively for Checkpoint 23,Do not copy conversion ratios or tables. Use only the idea that compatibility transformations should be explicit and lossy.,Conceptually relevant to Adapted installations and data migration between schema versions.,d723f748c5e3806764aae12e682223211aaf533ef7280ef02d667f445c00af12
T4_BIG_HULLS,Traveller Large Hulls Reference,002 bighulls.pdf,docs/references/002 bighulls.pdf,tabletop ship-design supplement,scale and complexity warning,large-hull scaling; component burden; capacity; construction tables,Large-hull tables and notes,reviewed selectively for Checkpoint 23,Do not copy scale tables. Use only as a warning against turning Hull TL into unbounded ship-class escalation.,Reinforces the persistent cruiser-lineage guardrail.,b24c9412f373d6f473ac4f97c0cd05a73fa4d082e3b4ade1b99d423d2c2e4fb9
WARLORDS_I,Warlords I Rules of Combat,WIIIDLRRulesOfCombat(1).pdf,docs/references/WIIIDLRRulesOfCombat(1).pdf,tabletop campaign/combat rules,bounded support-effect comparison,group support; warding; leaders; bounded modifiers,Combat and support-effect sections,background review,Do not import fantasy combat systems. Use only general lessons about readable bounded support effects.,Limited direct relevance to ship technology.,4ea5f9ce4e41d32a68fd96289127fbb05cc9601a13dab10a7cddfb5994f5ed20
WARLORDS_II,Warlords II Rules,WarlordsII(1).pdf,docs/references/WarlordsII(1).pdf,tabletop campaign/combat rules,leader and campaign comparison,leaders; campaign events; support abilities; force identity,"Leader, campaign, and combat sections",background review,Do not copy named abilities or combat systems. Use only high-level patterns for bounded officer influence.,Supports senior officers changing options without replacing ship systems.,7e536cd874f98c55d3c87b4ecf8022f4564df83f84477d13ad3461a2431ef266
WARLORDS_III,Warlords III Rules,WarlordsIII(1).pdf,docs/references/WarlordsIII(1).pdf,tabletop campaign/combat rules,leader and campaign comparison,leaders; progression; campaign events; support abilities,"Leader, campaign, and combat sections",background review,"Do not copy named abilities, progression, or combat systems. Use only high-level patterns for bounded officer influence.",Limited direct subsystem relevance.,3bd14302be1bcfd859a8adcde55d9a2016ad3ad5c6a1f2be76ac812dd3c51d11
