section,parameter_id,display_name,value,unit,applies_to,status,rationale,test_signal
Chassis,hull_points,Pristine Hull,24,Hull,TL1 Standard Test Cruiser,provisional_exact,Provides several post-armor hits without producing a very long duel. Canonical CP122 x2 point-domain migration; no balance change intended.,Too low if one ordinary Hull-reaching hit decides most battles; too high if component damage rarely matters.
Chassis,weapon_bays,Weapon Bays,1,bay,TL1 core fixture,provisional_exact,Isolates one weapon family and fixed bay order.,Increase only after one-bay weapon identities are understood.
Chassis,aux_capacity_core,Core-fixture Auxiliary Capacity,0,slot,TL1 core fixture,provisional_exact,Prevents optional systems from contaminating the first duel layer.,Later subsystem fixtures temporarily add exactly the required test capacity.
Personnel,crew_pristine,Pristine Crew,100,people,TL1 Standard Test Cruiser,provisional_exact,Intuitive count scale and future casualty granularity.,Casualty events should occur in meaningful chunks rather than one-point attrition.
Personnel,marine_pristine,Pristine Marines,10,marines,TL1 Standard Test Cruiser,provisional_exact,Creates a separate boarding resource without a squad-management layer.,Tune only after boarding exists.
Personnel,minimum_operating_crew,Minimum Operating Crew,10,crew,TL1 Standard Test Cruiser,provisional_exact,Creates a hard emergency-operation floor.,Automation and future Aux systems may modify this value.
Personnel,crew_stage_effective,Effective Crew threshold,51,crew minimum,TL1 Standard Test Cruiser,provisional_exact,No general penalty above half complement.,Review if Crew losses are too inconsequential before 50.
Personnel,crew_stage_reduced,Reduced Crew threshold,21,crew minimum,TL1 Standard Test Cruiser,provisional_exact,First broad casualty stage.,Initial effect is -10 percentage points to Damage Control.
Personnel,crew_stage_critical,Critical Crew threshold,10,crew minimum,TL1 Standard Test Cruiser,provisional_exact,Near-minimum operation without continuous percentage scaling.,Initial effect is -20 Damage Control and -1 DC Capacity.
Personnel,crew_casualty_standard,Standard casualty chunk,10,crew,casualty test event,provisional_exact,Meaningful visible loss without per-hit micromanagement.,Use only from explicit casualty events.
Personnel,crew_casualty_severe,Severe casualty chunk,20,crew,casualty test event,provisional_exact,Crosses stages after repeated severe internal events.,Tune against internal-damage frequency.
Personnel,crew_casualty_catastrophic,Catastrophic casualty chunk,30,crew,casualty test event,provisional_exact,Reserved for explicit catastrophic or boarding outcomes.,Must remain rare and telegraphed.
Defense,armor_protection,Primary Armor Protection,0,AP,TL1 Rolled Alloy Plating,provisional_exact,Basic TL1 armor is capacity-first; Protection begins at later technology. Canonical CP122 x2 point-domain migration; no balance change intended.,Provides a clean APEN control surface without making weak weapons stall by default.
Defense,armor_integrity,Primary Armor Integrity,8,AI,TL1 Rolled Alloy Plating,provisional_exact,Armor is the principal TL1 defensive layer but should expose Hull within a multi-turn duel. Canonical CP122 x2 point-domain migration; no balance change intended.,Track time to Armor depletion and Hull exposure across damage and penetration controls.
Defense,shield_capacity,Pristine Shield Capacity,4,Shield,TL1 Magnetic Deflector Array,provisional_exact,TL1 shields are a small renewable buffer and intentionally inferior to armor. Canonical CP122 x2 point-domain migration; no balance change intended.,Too low if shields feel cosmetic; too high if armor is rarely reached.
Defense,shield_base_recharge,Base Shield Recharge,2,Shield per turn,Operational TL1 Shield Generator,provisional_exact,Makes renewable shields relevant without fully canceling ordinary damage. Canonical CP122 x2 point-domain migration; no balance change intended.,Track shieldless turns and duel length.
Defense,shield_tactical_recharge_rate,Tactical Shield Recharge Rate,2,Shield per TP,Operational TL1 Shield Generator,provisional_exact,Simple one-for-one baseline. Canonical CP122 x2 point-domain migration; no balance change intended.,Compare against energy-weapon opportunity cost.
Defense,shield_tactical_recharge_cap,Tactical Shield Recharge Cap,2,TP per turn,Operational TL1 Shield Generator,provisional_exact,Prevents full reactor conversion into rapid shield restoration.,Too high if defense stalls; too low if recharge decisions disappear.
Defense,shield_degraded_base_recharge,Degraded Base Recharge,0,Shield per turn,Degraded TL1 Shield Generator,provisional_exact,Degradation matters while residual capacity remains. Canonical CP122 x2 point-domain migration; no balance change intended.,Tactical recharge remains capped at 1 TP in the Degraded profile.
Defense,shield_degraded_tactical_cap,Degraded Tactical Recharge Cap,1,TP per turn,Degraded TL1 Shield Generator,provisional_exact,Preserves reduced function without treating Degraded as Disabled.,Review duel survivability after generator damage.
Defense,shield_overcapacity_cost,Shield Overcapacity overload cost,1,TP,Operational noncollapsed TL1 Shield Generator,provisional_exact,Creates a proactive reusable defense distinct from battery restoration.,Must not become automatic every battle.
Defense,shield_overcapacity_amount,Shield Overcapacity overload amount,2,temporary Shield,Operational noncollapsed TL1 Shield Generator,provisional_exact,Adds one emergency buffer point per overload without replacing ordinary shield capacity or recharge. Canonical CP122 x2 point-domain migration; no balance change intended.,Excess disappears at Turn Refresh and cannot be recharged once lost; two safe activations add at most 2 total temporary SP.
Defense,shield_recovery_overload_cost,Collapsed-shield recovery overload cost,1,TP,Operational collapsed TL1 Shield Generator,provisional_exact,Uses the generator overload without restarting it during the same turn.,No same-turn field restoration in the baseline.
Defense,shield_recovery_overload_bonus,Collapsed-shield next-recharge bonus,4,Shield,Next legal recharge,provisional_exact,Makes recovery overload meaningful without undoing a successful collapse immediately. Canonical CP122 x2 point-domain migration; no balance change intended.,Compare with a future advanced immediate-restart option only as a separate test.
Defense,shield_generator_strain_limit,Shield Generator Strain Limit,2,Strain,TL1 Shield Generator,provisional_exact,Allows two safe overloads across turns before forced risk.,Watch whether safe overload becomes routine output.
Defense,shield_hardener_power_per_sa,Shield Hardener normal power,1,TP per installed hardener,Optional TL1 Shield Hardener,provisional_exact,"Compatibility ID retained; 1 TP powers the installed TL1 Hardener, whose canonical x2 output is SA2. Power is not charged once per new-scale SA point. Do not multiply Tactical Power cost by the x2 damage-point scale.",SA reduces shield-facing damage after SPEN bypass.
Defense,shield_hardener_max_sa,Shield Hardener normal maximum,2,SA,Optional TL1 Shield Hardener,provisional_exact,Creates a visible SPEN counter without invalidating penetration. Canonical CP122 x2 point-domain migration; no balance change intended.,Overload may add one more SA.
Defense,shield_hardener_overload_sa,Shield Hardener overload bonus,2,SA,Optional TL1 Shield Hardener,provisional_exact,Persistent remainder-of-turn overload. Canonical CP122 x2 point-domain migration; no balance change intended.,Costs +1 TP and +1 Strain.
Defense,shield_battery_restore,Shield Battery restoration,6,Shield per charge,Optional TL1 Shield Battery,provisional_exact,Crosses one ordinary attack threshold. Canonical CP122 x2 point-domain migration; no balance change intended.,All-or-nothing; excess is wasted.
Defense,shield_battery_charges,Shield Battery charges,3,charges,Optional TL1 Shield Battery,provisional_exact,Finite emergency endurance.,No overload; discharge-rate improvements are separate component traits.
Defense,shield_battery_discharge_limit,Shield Battery discharge limit,1,charge per turn,Optional TL1 Shield Battery,provisional_exact,Prevents dumping the entire bank in one turn.,Advanced batteries may explicitly increase this limit.
Power,reactor_output,Main Reactor Tactical Power,5,TP per turn,TL1 Fission Reactor,provisional_exact,Supports shield recharge plus one energy weapon while leaving little room for optional defenses.,Too high if every system is always active; too low if energy weapons cannot function.
Power,reactor_degraded_output,Degraded Reactor Tactical Power,3,TP per turn,Degraded TL1 Fission Reactor,provisional_exact,Rounded-up half-output baseline.,Applies at next Turn Refresh after mid-turn damage.
Power,reactor_emergency_output,Emergency Tactical Output,1,TP per turn,Disabled TL1 Fission Reactor,provisional_exact,Allows one last-ditch choice.,Cannot be overloaded and is lost when Destroyed.
Power,reactor_overload_output,Reactor overload gain,1,TP,TL1 Fission Reactor,provisional_exact,Crosses one tactical decision threshold.,Once per reactor per turn; unused power is lost at refresh.
Power,reactor_strain_limit,Reactor Strain Limit,2,Strain,TL1 Fission Reactor,provisional_exact,Two safe overloads before forced risk.,Persistent until Damage Control or full facility service.
Power,aux_reactor_output,Auxiliary Reactor output,1,TP per turn,Optional TL1 Auxiliary Reactor,provisional_exact,Crosses one nearby affordability threshold without erasing normal reactor decisions.,Provides core power and runs simultaneously with the main Reactor; ordinary TL1 hulls are not assumed to mount one.
Power,aux_reactor_degraded_output,Degraded Auxiliary Reactor output,0,TP per turn,Optional TL1 Auxiliary Reactor,provisional_exact,The small early Auxiliary Reactor loses flexible output when degraded.,It may still preserve core-power redundancy where applicable; no default backup-bus requirement.
Power,apu_tactical_output,APU Tactical Power output,0,TP per turn,Optional TL1 APU,provisional_exact,APU supports core operation only.,Use in reactor-loss scenarios.
Power,combat_battery_gain,Combat Battery discharge,2,TP,Optional TL1 Combat Battery,provisional_exact,Useful emergency flexibility without replacing a reactor.,Injected power is all-or-nothing and unused power expires at refresh.
Power,combat_battery_charges,Combat Battery charges,3,charges,Optional TL1 Combat Battery,provisional_exact,Finite tactical reserve.,One discharge per turn unless explicitly upgraded.
Power,combat_battery_discharge_limit,Combat Battery discharge limit,1,charge per turn,Optional TL1 Combat Battery,provisional_exact,Prevents multi-charge burst by default.,Separate from overload.
Power,capacitor_capacity,Capacitor Bank capacity,3,stored TP,Optional TL1 Capacitor Bank,provisional_exact,Enough to shift a meaningful but bounded amount between turns; an installed bank is full after FTL travel.,Stored charge survives Turn Refresh; FTL travel refills the bank to full capacity.
Power,capacitor_charge_rate,Capacitor charge rate,1,TP per operation,Optional TL1 Capacitor Bank,provisional_exact,Prevents rapid banking of all unused power.,Initial charge windows: turn start or Damage Control; test may narrow this.
Power,capacitor_discharge_rate,Capacitor discharge rate,2,TP per operation,Optional TL1 Capacitor Bank,provisional_exact,Useful burst greater than the charge rate.,One charge or discharge operation per turn.
Power,forced_overload_success,Forced-overload base success,60,percent,Standard TL1 overloadable component,provisional_exact,Creates real but not prohibitive voluntary risk.,Roll only when resulting Strain exceeds the component limit.
Power,forced_overload_critical_failure,Forced-overload critical failure,1,natural d100,Standard TL1 overloadable component,provisional_exact,Uses existing natural-01 convention.,No ordinary failure causes an automatic condition step.
Power,forced_overload_critical_success,Forced-overload critical success,100,natural d100,Standard TL1 overloadable component,provisional_exact,Uses existing natural-100 convention.,"Default benefit is one less Strain, minimum zero."
Propulsion,stl_move,STL Move,1,hex per turn,TL1 Nuclear Pulse Drive,provisional_exact,Operational ship STL Move equals the installed STL Drive TL; TL1 therefore moves 1 hex per turn.,Checkpoint 39 compares production 1/2 movement against Godot 3/2 and legacy 4/1 controls.
Propulsion,fuel_capacity,Fuel Capacity,100,fuel,TL1 Standard Test Cruiser,provisional_exact,Keeps fuel consequential across repeated maneuver while remaining non-binding in ordinary short TL1 duels.,Checkpoint 67 adopts 100 as the authoritative player-cruiser baseline; keep 2 fuel per traversed hex and existing overload/EvM costs unchanged.
Propulsion,stl_fuel_per_hex,Ordinary STL fuel,2,fuel per hex moved,TL1 Nuclear Pulse Drive,provisional_exact,Each actually traversed tactical hex has one simple visible cost.,Apply to authoritative traversed-path length rather than straight-line displacement.
Propulsion,evasive_power_cost,Evasive Maneuvering power,1,Spent TP,TL1 Nuclear Pulse Drive,provisional_exact,Adds a small energy cost without creating computer-power bookkeeping.,No Strain by default.
Propulsion,evasive_flat_fuel_cost,Evasive Maneuvering flat fuel cost,1,fuel per turn,TL1 Nuclear Pulse Drive,provisional_exact,KISS replacement for the older doubled-movement-fuel rule.,Charged once for the turn in addition to ordinary traversed-hex fuel; stationary EvM still costs exactly 1 fuel.
Propulsion,evasive_defense_rating,Evasive defensive rating,1,rating,TL1 Nuclear Pulse Drive,provisional_exact,Matches the existing approximate -10 percentage-point effect.,Also applies the existing own-fire penalty unless compensated.
Propulsion,stl_overload_move_bonus,STL overload Move bonus,1,hex,TL1 Nuclear Pulse Drive,provisional_exact,"STL overload adds the drive's listed Move, so a TL1 drive can temporarily move 2 hexes at the cost of power, fuel, and Strain risk.",Overload-equivalent 2/2 tail-chase geometry is retained as a diagnostic control.
Propulsion,stl_overload_power_cost,STL overload power cost,1,TP,TL1 Nuclear Pulse Drive,provisional_exact,Keeps overload tied to the power economy.,Also costs 2 additional fuel and adds 1 Strain.
Propulsion,stl_overload_extra_fuel,STL overload extra fuel,2,fuel,TL1 Nuclear Pulse Drive,provisional_exact,Makes emergency thrust visibly expensive.,In addition to ordinary movement fuel.
Propulsion,stl_overload_strain_cost,STL overload Strain cost,1,Strain,TL1 Nuclear Pulse Drive,provisional_exact,One listed overload step adds one persistent Strain.,Safe-only scripted doctrine may use two activations before the next activation would require Forced Overload.
Propulsion,stl_strain_limit,STL Drive Strain Limit,2,Strain,TL1 Nuclear Pulse Drive,provisional_exact,Matches standard TL1 energy-system durability.,Degraded profile may modify overload eligibility later.
Propulsion,ftl_move,FTL charted-sector Move,1,strategic hex per turn,TL1 Prototype Fold Drive,inherited_provisional_exact,Retains the existing TL1 progression example.,Emergency Jump remains a separate deferred procedure.
Sensors,passive_firm_range,Passive Firm range,3,hexes,TL1 Sensor Array,provisional_exact,Basic short-range discrimination without power.,Initial weapon duels begin with fixed Firm tracks and do not test this value.
